,OBJECTID_1,POINT_X,POINT_Y
0,1.0,-122.3078005,47.61410027
1,3.0,-122.3493445,47.72312893
2,5.0,-122.285975,47.51571561
3,7.0,-122.2859941,47.51490227
4,9.0,-122.3401668,47.77507947
5,11.0,-122.3088634,47.71817911
6,13.0,-122.2883613,47.60633914
7,15.0,-122.3374737,47.75235203
8,17.0,-122.3424897,47.73993935
9,19.0,-122.3419219,47.73993962
10,21.0,-122.2845405,47.73374295
11,23.0,-122.2960853,47.59256976
12,25.0,-122.3197029,47.68147099
13,27.0,-122.3301833,47.51383273
14,29.0,-122.3452296,47.45790574
15,31.0,-122.2754344,47.6974558
16,33.0,-122.284472,47.73175176
17,35.0,-122.4054126,47.57783332
18,37.0,-122.2931135,47.71289159
19,39.0,-122.3600449,47.44620226
20,41.0,-122.3606867,47.4457148
21,43.0,-122.36145,47.74604917
22,45.0,-122.3316446,47.74505667
23,47.0,-122.2647309,47.5115417
24,49.0,-122.3979938,47.57574111
25,51.0,-122.3456142,47.47545642
26,53.0,-122.2756002,47.45757832
27,55.0,-122.3527527,47.62957775
28,57.0,-122.3080682,47.54993036
29,59.0,-122.3319537,47.74686948
30,61.0,-122.2688232,47.67402943
31,63.0,-122.3644225,47.63024141
32,65.0,-122.3644245,47.62976376
33,67.0,-122.3938556,47.65588045
34,69.0,-122.3720832,47.77780241
35,71.0,-122.2694183,47.48124559
36,73.0,-122.3455833,47.63314986
37,75.0,-122.3953627,47.57938339
38,77.0,-122.2624817,47.47673859
39,79.0,-122.3841324,47.56498208
40,81.0,-122.3762225,47.66156547
41,83.0,-122.3473087,47.6492236
42,85.0,-122.3555276,47.7618018
43,87.0,-122.2913522,47.7682958
44,89.0,-122.230283,47.49331926
45,91.0,-122.2662555,47.55626743
46,93.0,-122.3023101,47.57844604
47,95.0,-122.3517933,47.75594818
48,97.0,-122.3109954,47.58843581
49,99.0,-122.2669201,47.55851261
50,101.0,-122.3622055,47.77137697
51,103.0,-122.299303,47.76428191
52,105.0,-122.2683394,47.67863132
53,107.0,-122.3280807,47.5306369
54,109.0,-122.2891716,47.74169071
55,111.0,-122.2485902,47.45742628
56,113.0,-122.3163911,47.7558745
57,115.0,-122.2817586,47.49700781
58,117.0,-122.2815589,47.49700859
59,119.0,-122.2941724,47.57508792
60,121.0,-122.2667517,47.66928129
61,123.0,-122.374557,47.77414326
62,125.0,-122.3756038,47.77415401
63,127.0,-122.2368201,47.49918986
64,129.0,-122.353097,47.76322086
65,131.0,-122.2503676,47.50372686
66,133.0,-122.3267455,47.58117997
67,135.0,-122.3729302,47.75737733
68,137.0,-122.3241301,47.77497438
69,139.0,-122.4089756,47.64726227
70,141.0,-122.2936992,47.53049177
71,143.0,-122.2944176,47.53030219
72,145.0,-122.3605341,47.62929439
73,147.0,-122.3564403,47.75994578
74,149.0,-122.2882596,47.57158319
75,151.0,-122.2990899,47.58946834
76,153.0,-122.2724789,47.55940348
77,155.0,-122.3429117,47.63341977
78,157.0,-122.3000792,47.77064647
79,159.0,-122.2782249,47.5593741
80,161.0,-122.35133,47.45422676
81,163.0,-122.3160638,47.57161754
82,165.0,-122.315567,47.58102198
83,167.0,-122.3700901,47.74927563
84,169.0,-122.3683693,47.74876172
85,171.0,-122.2950871,47.62513755
86,173.0,-122.3820322,47.5258451
87,175.0,-122.3751539,47.58274092
88,177.0,-122.3133556,47.52304137
89,179.0,-122.2759615,47.49187527
90,181.0,-122.2856994,47.61037167
91,183.0,-122.2753733,47.70456179
92,185.0,-122.2746011,47.54425463
93,187.0,-122.3476199,47.73595582
94,189.0,-122.2729467,47.69465002
95,191.0,-122.3209541,47.63502703
96,193.0,-122.3205408,47.63502705
97,195.0,-122.3701096,47.7732783
98,197.0,-122.2976723,47.75633278
99,199.0,-122.3174422,47.76104278
100,201.0,-122.3697543,47.69834858
101,203.0,-122.3492955,47.52649005
102,205.0,-122.3310593,47.69039478
103,207.0,-122.285331,47.47954318
104,209.0,-122.3254163,47.56893032
105,211.0,-122.2794231,47.6656641
106,213.0,-122.28138,47.70006799
107,215.0,-122.2828127,47.70157824
108,217.0,-122.3139659,47.48675251
109,219.0,-122.3080594,47.55114591
110,221.0,-122.2647778,47.55827164
111,223.0,-122.3022922,47.7047947
112,225.0,-122.3273971,47.59212971
113,227.0,-122.3274087,47.59179651
114,229.0,-122.3273965,47.59221691
115,231.0,-122.277259,47.5467333
116,233.0,-122.3051128,47.75896205
117,235.0,-122.2866814,47.57244805
118,237.0,-122.3942865,47.51487294
119,239.0,-122.3754542,47.6447713
120,241.0,-122.372992,47.5683121
121,243.0,-122.3242387,47.69914546
122,245.0,-122.3523164,47.75776315
123,247.0,-122.3186449,47.77124553
124,249.0,-122.2861117,47.60522887
125,251.0,-122.4021247,47.68094297
126,253.0,-122.3830947,47.52365587
127,255.0,-122.3916849,47.64519291
128,257.0,-122.2919416,47.5426482
129,259.0,-122.28112,47.6176603
130,261.0,-122.2848193,47.5787079
131,263.0,-122.4016997,47.66261002
132,265.0,-122.3738239,47.57555323
133,267.0,-122.3313312,47.53897545
134,269.0,-122.3852402,47.76699505
135,271.0,-122.2912265,47.73958262
136,273.0,-122.4040389,47.57847187
137,275.0,-122.2949531,47.71409252
138,277.0,-122.3212753,47.67467668
139,279.0,-122.341296,47.73049176
140,281.0,-122.3718983,47.45372116
141,283.0,-122.293012,47.6410269
142,285.0,-122.3027212,47.68968255
143,287.0,-122.3693056,47.7724866
144,289.0,-122.3879231,47.63913367
145,291.0,-122.3661056,47.6585262
146,293.0,-122.2830051,47.5737217
147,295.0,-122.3573354,47.47749872
148,297.0,-122.2479517,47.50863293
149,299.0,-122.3616517,47.57159015
150,301.0,-122.3618954,47.57147991
151,303.0,-122.3754285,47.50313178
152,305.0,-122.3754095,47.50352718
153,307.0,-122.303134,47.76124059
154,309.0,-122.3070845,47.54366543
155,311.0,-122.3067408,47.55845482
156,313.0,-122.3069625,47.55980154
157,315.0,-122.3611242,47.57058198
158,317.0,-122.3144172,47.76374813
159,319.0,-122.3140865,47.76312131
160,321.0,-122.2688831,47.54740041
161,323.0,-122.2849374,47.61238855
162,325.0,-122.3188414,47.73448896
163,327.0,-122.3201406,47.73449941
164,329.0,-122.2982057,47.68667557
165,331.0,-122.3153747,47.70676333
166,333.0,-122.2930607,47.58943514
167,335.0,-122.3586714,47.46351204
168,337.0,-122.3374192,47.65799078
169,339.0,-122.2494401,47.50319869
170,341.0,-122.3611456,47.54650917
171,343.0,-122.3520557,47.6134247
172,345.0,-122.333127,47.54428464
