,Unnamed: 0,gsv_panorama_id,width,height,lat,lng,camera_heading,camera_pitch,intersection_id
2316,2316,7Ud_deHUgRQBiqPg75Wu3g,16384.0,8192.0,47.50239562988281,-122.2425765991211,174.0722198486328,-1.262786865234375,29800
3768,3768,B5HlxNkoDQt5Il1HQ9fRYw,16384.0,8192.0,47.50249099731445,-122.24259948730467,164.6018524169922,-1.1066513061523438,29800
26949,26949,qDAz1KA7jTLcAhMilHCTtQ,13312.0,6656.0,47.50312805175781,-122.37539672851562,127.22347259521484,1.2965545654296875,303
19774,19774,yHe_2s4yNzlM6EOrcx7KKw,16384.0,8192.0,47.50359344482422,-122.25176239013672,53.87940979003906,-0.5857315063476562,27664
20031,20031,egpwS-D60UMyDr7tT8_9sQ,16384.0,8192.0,47.50364303588867,-122.25169372558594,32.11847686767578,-3.661582946777344,27664
8168,8168,SqcjV-JU3shzLv3c70Oxng,16384.0,8192.0,47.50631713867188,-122.38159942626952,191.1563415527344,6.3629302978515625,65724
15397,15397,gvftW6Ec4Qd8l6gGiacckw,16384.0,8192.0,47.50638198852539,-122.3759994506836,1.3183045387268066,-2.27081298828125,12253
2003,2003,taAGa8lo9QSh2fmslD7IsQ,16384.0,8192.0,47.506385803222656,-122.37769317626952,312.11358642578125,-1.56439208984375,8146
30197,30197,NbaqF5BPsv8-jU9YkvKpww,16384.0,8192.0,47.50639343261719,-122.37619018554688,275.7994384765625,-5.759811401367188,12253
4085,4085,-nyS-Gnn0QTTQmYvn9vtzQ,16384.0,8192.0,47.50642776489258,-122.3787612915039,271.1185302734375,-2.3111724853515625,8143
2591,2591,kpXC4VqAr-_zA8jVdFdtcw,16384.0,8192.0,47.50642776489258,-122.37863159179688,270.5023803710937,-2.2738265991210938,8143
14520,14520,jFhEva9USU2v-X6ybo1bdQ,16384.0,8192.0,47.50643539428711,-122.38143920898438,57.326473236083984,-1.6113128662109375,65724
1871,1871,AP9RR9fb5vkTKeV1TZ4sDA,16384.0,8192.0,47.50649642944336,-122.25465393066406,314.39898681640625,-1.0244293212890625,50331
15177,15177,-xdhCBXL1hb8i2Nz2r9yRw,16384.0,8192.0,47.506568908691406,-122.25474548339844,318.73834228515625,-0.68359375,50331
14056,14056,_jcVHh8r9Z5GxArekTV5Sg,16384.0,8192.0,47.50741195678711,-122.38153076171876,179.11683654785156,2.330352783203125,56167
